Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
med,,4,2,small,high,unacc
,vhigh,4,4,big,med,unacc
med,low,2,4,,low,unacc
low,low,3,,small,high,good
low,vhigh,2,more,,med,acc
low,,4,2,big,high,unacc
med,med,5more,2,,high,unacc
low,vhigh,5more,more,big,,acc
vhigh,low,3,2,med,,unacc
med,med,3,,small,med,acc
vhigh,high,4,more,,low,unacc
vhigh,low,4,2,big,,unacc
vhigh,low,5more,4,small,,acc
vhigh,med,2,,big,low,unacc
low,med,3,2,,high,unacc
vhigh,low,2,,small,med,unacc
vhigh,vhigh,4,4,,low,unacc
med,,3,more,small,low,unacc
low,high,3,,big,low,unacc
med,high,5more,4,big,,acc
med,med,3,4,big,,unacc
,low,3,more,big,med,acc
low,vhigh,3,4,big,,acc
,low,5more,2,small,med,unacc
low,low,,4,med,med,acc
high,low,5more,more,,low,unacc
high,low,3,2,,low,unacc
,vhigh,3,2,big,low,unacc
high,,5more,2,big,low,unacc
vhigh,vhigh,3,2,,med,unacc
med,med,,2,small,med,unacc
high,low,3,,med,med,unacc
vhigh,,5more,2,big,med,unacc
,med,3,2,med,high,unacc
vhigh,vhigh,5more,more,small,,unacc
low,,2,2,small,low,unacc
high,vhigh,4,,small,med,unacc
vhigh,med,2,,med,high,unacc
vhigh,med,3,4,,low,unacc
med,vhigh,4,more,,high,acc
high,high,2,4,,low,unacc
low,vhigh,,4,big,med,acc
high,med,2,4,,med,unacc
low,,3,4,small,med,acc
vhigh,low,2,2,,high,unacc
high,vhigh,4,4,med,,unacc
vhigh,low,2,4,,med,acc
vhigh,vhigh,3,,big,low,unacc
med,,3,4,small,high,acc
low,med,,4,big,high,vgood
med,,5more,more,big,low,unacc
high,high,,4,med,med,unacc
med,low,4,2,,med,unacc
low,vhigh,,2,med,med,unacc
high,vhigh,2,more,,med,unacc
vhigh,,4,2,big,low,unacc
vhigh,low,,2,small,med,unacc
vhigh,vhigh,3,more,,low,unacc
,low,4,4,small,med,acc
,low,2,more,big,high,acc
high,vhigh,5more,,med,high,unacc
low,low,3,more,med,,vgood
vhigh,vhigh,4,,big,low,unacc
low,med,3,,big,high,vgood
vhigh,,3,4,big,high,acc
med,vhigh,,more,med,high,acc
,high,4,more,big,low,unacc
med,med,5more,4,,high,vgood
low,vhigh,5more,,big,high,acc
vhigh,med,4,2,,med,unacc
low,med,,more,med,high,vgood
vhigh,high,5more,,big,low,unacc
high,,4,more,big,med,acc
med,vhigh,,more,big,high,acc
med,low,3,,big,high,vgood
vhigh,low,5more,,small,med,unacc
vhigh,low,5more,4,big,,acc
high,vhigh,3,,big,med,unacc
vhigh,low,,4,big,high,acc
vhigh,med,4,,small,high,unacc
vhigh,high,5more,4,big,,unacc
med,high,2,more,med,,acc
low,low,3,,big,med,good
med,low,3,2,,med,unacc
vhigh,med,2,more,,med,unacc
vhigh,low,4,2,,med,unacc
vhigh,low,5more,4,,low,unacc
vhigh,med,3,,small,med,unacc
vhigh,vhigh,4,4,,high,unacc
low,high,2,,small,high,acc
vhigh,med,5more,more,,high,acc
vhigh,high,2,,big,high,unacc
,low,5more,4,big,low,unacc
med,,4,2,med,high,unacc
,vhigh,4,more,big,high,acc
high,high,2,4,big,,unacc
low,low,5more,2,,low,unacc
low,,3,2,big,med,unacc
,med,5more,2,big,med,unacc
high,vhigh,5more,more,,high,unacc
vhigh,high,,2,small,med,unacc
low,high,,more,big,high,vgood
vhigh,med,3,,med,high,unacc
,med,3,more,small,high,acc
low,,3,2,big,low,unacc
low,,4,4,big,high,acc
high,vhigh,2,more,,med,unacc
low,,2,more,med,high,good
vhigh,low,2,,small,low,unacc
high,med,3,,big,high,unacc
med,vhigh,,more,big,med,acc
med,high,2,,big,high,unacc
low,low,3,4,big,,unacc
low,,5more,more,med,low,unacc
high,high,,2,med,high,unacc
vhigh,,4,2,big,med,unacc
low,vhigh,3,more,,low,unacc
med,med,2,more,med,,acc
low,high,,more,big,high,vgood
vhigh,vhigh,4,more,,high,unacc
vhigh,high,2,,small,high,unacc
high,high,4,4,med,,acc
med,low,2,,med,high,good
vhigh,med,,more,big,med,acc
med,high,2,more,,high,acc
vhigh,low,3,4,,med,acc
med,low,5more,,small,med,unacc
high,,4,4,small,low,unacc
vhigh,med,,more,small,high,acc
,vhigh,3,more,big,med,unacc
,vhigh,5more,4,big,low,unacc
low,,2,more,small,med,unacc
,vhigh,5more,more,small,high,acc
vhigh,vhigh,4,more,,high,unacc
,med,5more,4,small,med,acc
high,,3,more,big,low,unacc
med,vhigh,2,4,,med,unacc
high,vhigh,4,,small,low,unacc
low,high,4,4,,low,unacc
med,med,4,2,small,,unacc
vhigh,med,5more,,med,med,unacc
high,vhigh,2,,small,high,unacc
vhigh,high,2,4,,med,unacc
high,vhigh,3,4,,med,unacc
low,high,3,,med,high,unacc
high,low,,more,small,med,unacc
med,med,5more,,big,low,unacc
vhigh,,4,2,med,high,unacc
med,high,2,,big,low,unacc
,low,5more,4,small,low,unacc
high,,5more,2,big,low,unacc
med,,2,more,big,high,acc
,high,4,4,big,med,acc
med,low,3,,small,high,unacc
low,vhigh,,4,small,med,unacc
high,vhigh,,more,small,high,unacc
vhigh,low,5more,more,small,,unacc
high,vhigh,2,2,,med,unacc
high,,4,4,big,high,acc
vhigh,high,,2,big,med,unacc
low,,2,more,med,high,good
high,,3,4,small,med,unacc
,med,5more,more,small,low,unacc
low,low,,more,small,low,unacc
vhigh,low,3,,big,high,acc
low,low,5more,,small,med,acc
vhigh,high,4,,med,high,unacc
low,low,2,,med,med,unacc
,med,3,2,small,high,unacc
,med,3,4,med,low,unacc
vhigh,med,4,,small,high,acc
high,low,5more,4,,low,unacc
med,med,4,,small,high,acc
med,,2,4,med,med,acc
,high,2,more,med,med,unacc
med,low,5more,4,med,,good
,low,4,4,med,low,unacc
vhigh,med,3,2,big,,unacc
vhigh,,5more,more,med,low,unacc
low,,5more,more,med,med,good
vhigh,low,3,,big,low,unacc
low,,4,4,big,med,acc
med,low,3,4,med,,good
,high,5more,more,med,high,acc
med,,2,2,big,med,unacc
med,low,3,4,small,,good
low,,5more,4,med,high,vgood
vhigh,,3,2,small,low,unacc
med,,4,4,small,high,good
vhigh,high,4,,small,low,unacc
high,,5more,2,small,high,unacc
high,vhigh,5more,more,,low,unacc
vhigh,low,,more,med,med,acc
med,,3,more,big,high,vgood
high,high,3,,small,low,unacc
,low,3,more,big,low,unacc
high,med,2,2,med,,unacc
high,vhigh,5more,2,small,,unacc
med,vhigh,3,,med,high,acc
low,high,,more,small,med,acc
med,high,2,2,,high,unacc
high,,5more,2,small,high,unacc
,vhigh,5more,2,med,high,unacc
vhigh,high,4,,med,high,unacc
med,med,2,,big,high,unacc
high,low,2,4,med,,unacc
high,med,4,,med,high,acc
high,,4,2,med,high,unacc
med,med,4,more,big,,vgood
low,,5more,2,med,low,unacc
med,vhigh,,more,med,low,unacc
vhigh,,5more,4,small,med,unacc
vhigh,,2,4,big,med,unacc
vhigh,med,,more,med,high,acc
,med,5more,4,big,high,acc
high,high,5more,more,med,,acc
med,low,,4,med,low,unacc
,high,5more,2,small,low,unacc
low,,3,more,med,med,acc
,low,5more,2,med,med,unacc
med,high,5more,4,,low,unacc
vhigh,low,3,2,,med,unacc
vhigh,high,5more,4,,high,unacc
high,,3,2,med,low,unacc
low,med,2,4,,high,good
low,,4,4,small,high,acc
med,high,3,2,,low,unacc
,med,2,2,big,med,unacc
low,med,2,2,,high,unacc
,high,5more,2,big,high,unacc
,med,3,4,big,low,unacc
low,low,5more,2,,med,unacc
low,med,5more,2,small,,unacc
high,vhigh,4,more,,low,unacc
vhigh,vhigh,4,2,,low,unacc
low,vhigh,4,,big,med,acc
med,med,,2,small,med,unacc
,high,2,4,big,med,acc
vhigh,vhigh,3,4,big,,unacc
vhigh,vhigh,5more,,small,high,unacc
vhigh,med,,2,med,high,unacc
med,low,,more,small,low,unacc
vhigh,vhigh,5more,more,med,,unacc
med,med,4,,big,low,unacc
vhigh,high,,2,small,low,unacc
med,vhigh,3,4,small,,unacc
low,low,5more,,big,high,unacc
,med,4,2,med,med,unacc
,med,3,2,med,med,unacc
high,med,4,,small,high,acc
,low,5more,more,big,med,acc
high,med,3,,med,high,unacc
med,vhigh,3,more,,high,acc
low,med,5more,,big,low,unacc
vhigh,high,2,,med,low,unacc
,low,4,2,small,low,unacc
med,med,2,,big,high,vgood
med,,5more,2,big,med,unacc
med,vhigh,3,2,med,,unacc
,low,2,more,big,low,unacc
med,med,3,more,big,,acc
med,high,3,,small,high,acc
high,high,3,more,big,,acc
high,high,3,,big,low,unacc
low,high,4,,med,high,vgood
high,low,4,more,,high,acc
high,vhigh,4,2,,high,unacc
med,high,,4,small,high,acc
low,,5more,2,small,med,unacc
low,low,4,,big,high,vgood
low,vhigh,4,2,,med,unacc
,med,3,4,med,high,acc
low,high,2,,big,low,unacc
,low,4,4,small,low,unacc
high,vhigh,5more,more,,med,unacc
high,med,3,more,,high,acc
low,low,3,2,med,,unacc
vhigh,med,2,,small,high,acc
,med,2,4,big,med,acc
high,,3,more,small,low,unacc
low,high,,4,med,med,acc
high,,2,2,med,med,unacc
vhigh,high,4,2,small,,unacc
high,low,5more,2,med,,unacc
high,high,4,4,,med,acc
vhigh,med,3,more,,low,unacc
vhigh,high,3,,med,high,unacc
high,vhigh,2,2,,high,unacc
high,low,,4,small,med,unacc
high,,2,more,med,high,acc
high,high,5more,,big,high,acc
,vhigh,4,4,med,low,unacc
vhigh,med,5more,4,,med,unacc
vhigh,,5more,2,med,med,unacc
low,,2,more,med,low,unacc
vhigh,med,,4,med,med,acc
med,low,5more,4,small,,acc
vhigh,vhigh,,4,small,med,unacc
,vhigh,3,2,big,high,unacc
low,low,5more,,small,low,unacc
med,med,2,more,,low,unacc
med,vhigh,5more,2,,high,unacc
high,low,2,2,,med,unacc
med,low,2,more,,med,acc
high,high,4,,med,high,unacc
low,vhigh,5more,2,med,,unacc
low,vhigh,5more,,small,low,unacc
med,high,,4,small,low,unacc
med,,4,2,big,med,unacc
vhigh,med,2,2,,low,unacc
high,high,5more,4,,high,acc
vhigh,,4,4,big,high,acc
high,high,3,4,,high,acc
low,vhigh,5more,4,,high,acc
low,low,5more,,big,high,vgood
vhigh,low,3,4,small,,acc
high,,4,2,small,low,unacc
,vhigh,5more,more,med,high,unacc
med,med,5more,2,,med,unacc
high,high,4,more,small,,acc
low,high,2,,med,med,acc
low,,3,more,small,med,acc
low,vhigh,4,more,big,,unacc
high,low,,2,big,med,unacc
low,high,2,more,,high,unacc
low,vhigh,4,,small,med,unacc
high,high,,more,big,high,acc
low,med,2,2,,med,unacc
med,low,3,,small,high,good
,vhigh,5more,more,big,high,unacc
low,,2,4,small,low,unacc
,low,2,2,small,med,unacc
high,high,,more,med,high,acc
med,vhigh,3,4,,med,acc
med,high,3,more,,low,unacc
med,,2,2,med,low,unacc
med,,2,2,med,high,unacc
high,high,4,,small,low,unacc
med,high,3,4,,low,unacc
low,high,4,,small,med,acc
,vhigh,4,2,big,med,unacc
vhigh,,4,2,big,high,unacc
low,vhigh,3,,med,med,unacc
,low,4,2,med,med,unacc
vhigh,,3,2,big,high,unacc
med,vhigh,4,2,,low,unacc
,med,2,more,med,low,unacc
high,,2,more,big,med,acc
low,med,2,,small,low,unacc
low,low,3,4,big,,vgood
,low,4,2,big,high,unacc
med,low,,2,big,low,unacc
,low,5more,4,med,low,unacc
vhigh,,5more,more,small,high,unacc
med,high,,more,med,low,unacc
,vhigh,3,more,big,high,acc
low,,3,more,big,high,vgood
vhigh,vhigh,4,,med,high,unacc
med,low,,2,med,low,unacc
low,vhigh,,more,med,low,unacc
high,high,4,2,med,,unacc
med,low,2,more,med,,unacc
,vhigh,4,4,big,low,unacc
vhigh,low,,4,med,med,unacc
high,high,3,,small,med,unacc
vhigh,low,,2,med,med,unacc
vhigh,,5more,more,med,high,acc
med,vhigh,5more,2,small,,unacc
low,,5more,4,small,med,unacc
low,med,4,2,,high,unacc
med,vhigh,,more,small,low,unacc
med,high,5more,,med,high,unacc
med,high,4,4,,low,unacc
,med,4,more,med,high,acc
med,high,,2,med,med,unacc
low,vhigh,3,2,small,,unacc
med,vhigh,2,2,,low,unacc
vhigh,high,2,,small,high,unacc
low,med,5more,4,,low,unacc
low,vhigh,3,2,,high,unacc
high,,3,more,med,med,acc
vhigh,,2,more,small,low,unacc
med,med,3,2,,med,unacc
low,,2,more,big,med,acc
vhigh,high,5more,2,,high,unacc
low,med,4,2,med,,unacc
med,high,4,4,med,,unacc
low,high,3,,med,low,unacc
vhigh,vhigh,5more,2,small,,unacc
low,med,5more,more,,low,unacc
low,,3,2,med,high,unacc
low,vhigh,3,2,med,,unacc
low,,2,4,med,low,unacc
vhigh,,4,2,med,low,unacc
,high,2,2,med,med,unacc
low,,4,2,med,med,unacc
vhigh,vhigh,5more,,med,med,unacc
low,low,3,2,big,,unacc
,high,2,4,med,med,unacc
low,high,3,more,small,,unacc
low,high,5more,,small,med,acc
high,low,5more,more,,med,unacc
med,,3,more,small,high,acc
med,low,3,,med,low,unacc
vhigh,med,5more,,med,high,acc
high,low,2,,med,med,unacc
med,med,,4,small,low,unacc
med,vhigh,2,more,,low,unacc
med,vhigh,3,2,,high,unacc
high,,4,2,med,low,unacc
high,med,2,more,,high,acc
high,vhigh,2,,small,high,unacc
high,,4,2,med,high,unacc
,low,5more,2,big,high,unacc
,med,4,more,small,low,unacc
high,,4,2,small,low,unacc
low,low,5more,4,,med,good
med,,5more,4,big,high,vgood
high,,3,more,small,med,unacc
low,med,3,4,med,,acc
high,med,,more,big,high,acc
high,med,4,2,,low,unacc
med,vhigh,,more,big,low,unacc
med,high,3,2,small,,unacc
vhigh,low,2,2,med,,unacc
,low,3,more,small,high,acc
high,,4,more,med,high,acc
low,med,3,,small,med,unacc
,high,2,4,big,med,acc
high,med,,2,small,low,unacc
vhigh,high,4,4,big,,unacc
high,high,4,2,,high,unacc
low,vhigh,4,more,big,,acc
vhigh,vhigh,5more,2,big,,unacc
med,low,4,4,big,,vgood
low,,2,4,big,low,unacc
high,,2,more,big,high,unacc
vhigh,vhigh,,2,small,med,unacc
low,vhigh,2,2,small,,unacc
vhigh,med,,2,big,low,unacc
vhigh,high,2,2,,low,unacc
med,med,,more,med,high,vgood
med,high,5more,,big,low,unacc
high,low,2,4,,low,unacc
,high,4,4,med,med,unacc
med,high,5more,more,,low,unacc
,vhigh,3,more,big,med,acc
vhigh,vhigh,,more,small,med,unacc
vhigh,,5more,more,small,med,unacc
med,med,4,,med,med,acc
,med,4,4,big,med,acc
low,high,5more,2,,high,unacc
,low,5more,more,big,low,unacc
low,vhigh,,4,small,low,unacc
high,high,3,,small,low,unacc
vhigh,vhigh,3,2,med,,unacc
high,med,4,more,small,,unacc
med,low,,4,big,low,unacc
vhigh,high,,more,big,high,unacc
low,med,3,more,med,,good
vhigh,low,2,2,,low,unacc
,high,2,more,med,low,unacc
med,vhigh,,4,small,low,unacc
,med,5more,4,small,low,unacc
med,high,4,2,big,,unacc
vhigh,,2,more,small,low,unacc
vhigh,high,3,,med,med,unacc
,low,3,4,small,med,unacc
vhigh,vhigh,5more,,med,low,unacc
vhigh,vhigh,3,more,,med,unacc
high,vhigh,3,4,small,,unacc
vhigh,high,3,more,,low,unacc
,high,4,more,small,low,unacc
,med,3,more,big,med,good
low,vhigh,5more,more,small,,unacc
low,high,5more,,med,med,acc
high,vhigh,4,4,,low,unacc
vhigh,high,4,,small,low,unacc
,high,3,4,small,med,acc
high,high,4,more,,low,unacc
,med,5more,more,small,low,unacc
,vhigh,5more,4,big,med,unacc
,low,2,more,med,high,acc
low,med,3,4,med,,good
low,low,4,4,big,,unacc
high,med,2,more,med,,unacc
high,,5more,more,big,med,acc
high,low,2,4,big,,acc
low,low,4,2,small,,unacc
vhigh,med,3,,small,med,unacc
low,low,4,2,,med,unacc
med,low,,2,med,med,unacc
vhigh,med,5more,4,,med,acc
,vhigh,2,2,med,med,unacc
,low,2,4,med,high,good
,med,4,4,med,high,acc
,med,5more,4,med,low,unacc
vhigh,low,5more,more,big,,acc
vhigh,low,3,,small,high,acc
high,high,,2,small,low,unacc
,med,3,2,small,med,unacc
,high,4,more,small,high,unacc
med,high,3,,big,med,acc
high,high,5more,4,small,,unacc
med,vhigh,,4,big,low,unacc
low,low,4,,big,med,good
vhigh,med,5more,2,small,,unacc
,med,3,more,small,med,unacc
,vhigh,3,2,med,low,unacc
med,low,5more,more,big,,unacc
med,vhigh,,more,big,low,unacc
vhigh,low,4,2,,low,unacc
med,high,2,,med,high,acc
med,high,3,2,,low,unacc
vhigh,high,,more,small,med,unacc
med,low,4,2,,med,unacc
low,med,4,,small,med,acc
vhigh,low,3,2,,high,unacc
low,vhigh,,more,med,med,acc
med,low,3,2,big,,unacc
vhigh,high,5more,more,,low,unacc
high,,3,2,big,low,unacc
vhigh,high,3,2,,low,unacc
med,low,3,more,,high,vgood
med,med,4,more,,low,unacc
med,vhigh,5more,,med,med,unacc
,vhigh,4,4,med,med,acc
med,vhigh,4,,big,high,unacc
,vhigh,5more,more,med,high,acc
med,,2,2,med,low,unacc
low,high,2,,med,med,acc
med,,4,2,med,high,unacc
,vhigh,2,4,small,high,unacc
med,med,,4,big,med,acc
vhigh,med,,4,med,med,acc
vhigh,med,4,more,,med,acc
high,high,5more,,big,low,unacc
high,med,,more,med,low,unacc
low,high,4,4,small,,unacc
,high,2,more,med,med,unacc
,low,2,2,small,low,unacc
med,high,3,2,big,,unacc
low,low,,more,big,med,good
,med,5more,2,big,high,unacc
high,low,3,2,,low,unacc
high,med,2,,med,med,unacc
high,,5more,more,big,high,acc
high,low,4,,small,med,unacc
vhigh,high,3,more,big,,unacc
high,med,5more,more,,high,acc
high,high,5more,4,,high,acc
high,vhigh,5more,2,,med,unacc
med,low,3,4,,med,good
,high,4,2,med,med,unacc
vhigh,high,,2,big,med,unacc
low,high,2,more,,low,unacc
med,high,5more,,big,high,acc
vhigh,,5more,2,big,low,unacc
vhigh,vhigh,5more,4,,med,unacc
high,,2,4,small,med,unacc
med,vhigh,,2,med,med,unacc
vhigh,high,3,,med,med,unacc
vhigh,low,5more,4,,low,unacc
high,low,5more,2,small,,unacc
high,vhigh,3,more,small,,unacc
,low,3,4,big,med,acc
,vhigh,5more,2,small,high,unacc
high,low,,2,big,high,unacc
med,med,3,more,,low,unacc
high,,2,4,big,med,unacc
,low,4,2,small,med,unacc
vhigh,high,4,4,big,,unacc
vhigh,low,4,4,med,,acc
high,,3,4,med,low,unacc
med,high,,2,big,med,unacc
low,high,4,,small,high,acc
high,low,5more,2,small,,unacc
low,high,2,,small,med,unacc
high,low,3,more,big,,unacc
high,low,,4,small,med,unacc
high,med,5more,,big,low,unacc
med,low,5more,more,,med,acc
high,med,2,4,,high,acc
,high,3,2,big,high,unacc
low,vhigh,2,,big,low,unacc
med,low,3,4,,high,vgood
low,vhigh,4,2,,med,unacc
,high,5more,4,big,med,acc
med,med,2,2,big,,unacc
high,high,4,more,,med,acc
,med,4,more,big,med,acc
high,med,4,4,,med,unacc
low,low,2,more,,low,unacc
,vhigh,5more,2,big,high,unacc
vhigh,vhigh,3,4,big,,unacc
low,low,3,more,small,,acc
vhigh,high,,more,big,low,unacc
med,low,5more,,small,high,good
high,,2,2,small,low,unacc
,vhigh,4,2,med,med,unacc
low,med,,2,med,high,unacc
low,,4,more,med,high,vgood
vhigh,high,4,2,med,,unacc
,med,4,more,med,low,unacc
low,low,2,4,,low,unacc
low,med,4,,big,low,unacc
,low,2,more,big,med,acc
high,high,3,2,med,,unacc
high,med,,4,big,med,acc
,low,2,2,med,high,unacc
med,vhigh,3,4,,med,unacc
,vhigh,5more,2,small,low,unacc
low,,5more,more,small,high,acc
med,vhigh,5more,,big,low,unacc
high,vhigh,3,2,small,,unacc
vhigh,low,3,more,,med,acc
vhigh,low,2,,small,med,unacc
med,,3,2,small,med,unacc
low,,2,2,big,med,unacc
,high,3,2,med,low,unacc
med,vhigh,4,4,,high,acc
,high,4,4,big,low,unacc
low,med,5more,2,big,,unacc
,med,5more,4,big,low,unacc
vhigh,low,2,2,,high,unacc
high,low,3,more,,high,acc
,med,5more,more,med,med,acc
low,vhigh,3,2,small,,unacc
med,med,5more,4,small,,unacc
low,high,5more,4,,high,vgood
vhigh,high,,2,big,low,unacc
vhigh,vhigh,2,4,,med,unacc
vhigh,high,4,4,,med,unacc
high,,2,2,small,high,unacc
vhigh,med,3,,small,low,unacc
med,high,5more,2,small,,unacc
,vhigh,2,4,med,high,acc
high,,2,more,big,med,acc
vhigh,med,3,4,,med,acc
low,med,4,,small,low,unacc
vhigh,,3,2,med,med,unacc
high,high,2,,small,med,unacc
low,,4,more,small,low,unacc
low,vhigh,2,more,big,,unacc
med,high,,more,med,med,acc
,low,2,more,big,med,good
high,high,,more,small,med,unacc
vhigh,high,3,2,med,,unacc
low,low,,more,small,high,unacc
high,vhigh,5more,,small,med,unacc
vhigh,med,2,4,small,,unacc
high,med,,more,med,med,acc
low,low,5more,,med,high,unacc
vhigh,,5more,2,med,high,unacc
vhigh,,2,2,small,high,unacc
low,,3,2,med,med,unacc
vhigh,med,,2,med,low,unacc
med,med,,4,big,low,unacc
med,low,2,4,,low,unacc
med,vhigh,2,,big,med,acc
low,med,5more,2,big,,unacc
high,med,4,,med,med,acc
vhigh,,5more,2,med,high,unacc
high,vhigh,,4,small,low,unacc
high,high,3,2,,med,unacc
high,vhigh,4,more,small,,unacc
high,high,,4,med,low,unacc
med,high,3,2,,high,unacc
,med,3,2,med,low,unacc
vhigh,vhigh,,2,med,med,unacc
med,high,2,4,med,,unacc
,high,5more,4,small,high,acc
high,vhigh,3,4,,low,unacc
vhigh,med,5more,more,big,,acc
vhigh,vhigh,,2,big,low,unacc
vhigh,med,2,2,,med,unacc
high,high,,2,big,high,unacc
med,high,2,,big,med,acc
vhigh,,3,4,med,med,unacc
high,high,,2,med,low,unacc
vhigh,med,3,2,,low,unacc
low,vhigh,3,,small,low,unacc
,high,3,2,small,high,unacc
low,med,2,2,med,,unacc
low,vhigh,4,4,,high,acc
med,low,,4,med,high,vgood
,low,2,2,small,low,unacc
med,med,2,4,med,,unacc
med,low,,2,big,high,unacc
,low,3,more,med,low,unacc
low,,4,2,big,med,unacc
high,high,3,4,,low,unacc
low,med,,4,small,med,acc
low,low,,more,big,low,unacc
,med,2,4,med,high,acc
high,vhigh,2,,med,high,unacc
low,med,5more,,big,low,unacc
vhigh,low,3,more,,high,acc
med,low,,2,med,high,unacc
vhigh,,5more,more,small,low,unacc
,vhigh,2,4,small,high,unacc
med,,5more,more,small,med,acc
vhigh,,5more,more,med,high,acc
vhigh,,4,4,med,low,unacc
low,high,4,,med,low,unacc
med,high,4,,small,low,unacc
low,vhigh,,2,med,low,unacc
vhigh,,5more,more,small,high,acc
high,high,2,4,med,,acc
high,high,,2,small,med,unacc
low,,4,more,small,low,unacc
vhigh,,3,more,small,low,unacc
,low,2,4,small,high,good
low,vhigh,2,,big,high,acc
med,high,4,more,,low,unacc
low,low,5more,4,,low,unacc
high,low,4,,small,high,acc
vhigh,,2,4,med,low,unacc
,vhigh,4,more,small,med,unacc
med,high,4,more,,med,acc
med,med,,4,med,low,unacc
med,vhigh,,4,small,high,acc
vhigh,vhigh,,4,med,med,unacc
vhigh,,4,4,big,med,acc
high,high,3,4,med,,unacc
vhigh,vhigh,2,,big,med,unacc
vhigh,high,5more,more,med,,unacc
low,vhigh,3,2,,low,unacc
vhigh,high,3,,small,med,unacc
high,vhigh,,more,big,low,unacc
high,low,4,,small,high,unacc
med,vhigh,4,,big,low,unacc
med,vhigh,,2,small,high,unacc
vhigh,vhigh,5more,,med,high,unacc
low,med,3,4,,med,good
vhigh,,4,2,med,low,unacc
low,,2,more,small,high,unacc
med,,4,more,big,med,acc
,vhigh,2,2,small,med,unacc
,med,3,more,small,low,unacc
,high,5more,4,small,med,unacc
med,,5more,more,med,med,acc
,med,5more,more,small,med,acc
med,med,5more,more,,low,unacc
med,,2,2,med,high,unacc
high,vhigh,,more,small,high,unacc
vhigh,med,,2,med,med,unacc
med,vhigh,5more,2,med,,unacc
med,med,4,2,,med,unacc
vhigh,low,,4,med,low,unacc
,vhigh,5more,more,small,low,unacc
high,,5more,2,small,high,unacc
vhigh,,2,2,med,low,unacc
vhigh,vhigh,2,2,,med,unacc
,med,5more,4,big,low,unacc
